Component	XmlTag	ElementName
CardPaymentTransactionDetails54	AuthrsdAmt	AuthorisedAmount
CorporateActionSD27	CondlPmtAplblFlg	ConditionalPaymentApplicableFlag
CorporateActionSD27	DTCAutomtdOfferPrgm	DTCAutomatedOfferProgram
CorporateActionSD27	DTCCtdyElgblFlg	DTCCustodyEligibleFlag
CorporateActionSD27	DTCFrgnTaxElctnFlg	DTCForeignTaxElectionFlag
CorporateActionSD27	DTCReorgCtdyElgblFlg	DTCReorganisationCustodyEligibleFlag
CorporateActionSD27	DTCReorgDpstElgblFlg	DTCReorganisationDepositEligibleFlag
CorporateActionSD27	DsstrRghtsAplblFlg	DissenterRightsApplicableFlag
CorporateActionSD27	EDSMsggCtryCd	EDSMessagingCountryCode
CorporateActionSD27	NonXmptAllwdInd	NonExemptAllowedIndicator
CorporateActionSD27	NbOfShrsToBeIssd	NumberOfSharesToBeIssued
CorporateActionSD27	RghtsOvrsbcptFlg	RightsOversubscriptionFlag
CorporateActionSD27	RghtsRndUpPrvlgFlg	RightsRoundUpPrivilegeFlag
CorporateActionSD27	RghtsTrfblFlg	RightsTransferableFlag
CorporateActionSD27	SlctnDealrFeeFlg	SolicitationDealerFeeFlag
CorporateActionSD27	StepUpPrvlgFlg	StepUpPrivilegeFlag
CorporateActionSD27	SrrndrShrsToAgtFlg	SurrenderSharesToAgentFlag
CorporateActionSD27	TtlNbOfShrsOfferd	TotalNumberOfSharesOffered
CreditTransferTransaction73	AddtlDtTm	AdditionalDateTime
CreditTransferTransaction73	InitgPty	InitiatingParty
CreditTransferTransaction73	InstdAgt	InstructedAgent
CreditTransferTransaction73	InstdAmt	InstructedAmount
CreditTransferTransaction73	InstgAgt	InstructingAgent
CreditTransferTransaction73	MndtRltdInf	MandateRelatedInformation
CreditTransferTransaction73	PmtSgntr	PaymentSignature
CreditTransferTransaction74	ChqInstr	ChequeInstruction
CreditTransferTransaction74	MndtRltdInf	MandateRelatedInformation
CreditTransferTransaction74	PmtCond	PaymentCondition
CreditTransferTransaction74	Purp	Purpose
CreditTransferTransaction74	RmtInf	RemittanceInformation
CreditTransferTransaction74	ReqdExctnDt	RequestedExecutionDate
CreditTransferTransaction74	Tax	Tax
CreditTransferTransaction74	UltmtDbtr	UltimateDebtor
CreditTransferTransaction76	ChqInstr	ChequeInstruction
CreditTransferTransaction76	XchgRateInf	ExchangeRateInformation
CreditTransferTransaction76	MndtRltdInf	MandateRelatedInformation
CreditTransferTransaction76	Purp	Purpose
CreditTransferTransaction76	Tax	Tax
CreditTransferTransaction76	UltmtDbtr	UltimateDebtor
ServiceCategoryTotals7	BlldCstmrId	BilledCustomerIdentification
ServiceCategoryTotals8	BlldCstmrId	BilledCustomerIdentification
SwitchLegReferences3	RprdFee	RepairedFee
SwitchRedemptionLegExecution5	Grp1Or2Units	Group1Or2Units
SwitchRedemptionLegExecution5	Units	Units
SwitchRedemptionLegOrder7	Grp1Or2Units	Group1Or2Units
SwitchSubscriptionLegExecution5	Units	Units
TMSAction14	AddtlPrc	AdditionalProcess
TMSAction14	CmpntTp	ComponentType
TMSAction14	DlgtnProof	DelegationProof
TMSAction14	DlgtnScpDef	DelegationScopeDefinition
TMSAction14	DlgtnScpId	DelegationScopeIdentification
TMSAction14	DvcReq	DeviceRequest
TMSAction14	KeyNcphrmntCert	KeyEnciphermentCertificate
TMSAction14	PrtctdDlgtnProof	ProtectedDelegationProof
TMSAction14	RmotAccs	RemoteAccess
TMSAction14	TMSPrtcol	TMSProtocol
TMSAction14	TMSPrtcolVrsn	TMSProtocolVersion
TMSAction14	TermnlMgrId	TerminalManagerIdentification
TMSAction14	Trggr	Trigger
TMSEvent13	TermnlMgrId	TerminalManagerIdentification
TMSProtocolParameters8	XtrnlyTpSpprtd	ExternallyTypeSupported
TMSProtocolParameters8	PrtcolVrsn	ProtocolVersion
TMSProtocolParameters8	TermnlMgrId	TerminalManagerIdentification
TaxCalculationInformation12	PctgGrdfthdDebt	PercentageGrandfatheredDebt
TaxCalculationInformation12	PctgOfDebtClm	PercentageOfDebtClaim
TaxVoucher6	TaxRclmDcmnttnRef	TaxReclaimDocumentationReference
TelecomServices4	BllgEnd	BillingEnd
TelecomServices4	BllgEvt	BillingEvent
TelecomServices4	BllgStart	BillingStart
TelecomServicesLineItem4	CallFrCity	CallFromCity
TelecomServicesLineItem4	CallFrCtry	CallFromCountry
TelecomServicesLineItem4	CallFrCtrySubDvsnMjr	CallFromCountrySubDivisionMajor
TelecomServicesLineItem4	CallFrCtrySubDvsnMnr	CallFromCountrySubDivisionMinor
TelecomServicesLineItem4	CallFrPhne	CallFromPhone
TelecomServicesLineItem4	CallFrTp	CallFromType
TelecomServicesLineItem4	CallToCity	CallToCity
TemporaryServices4	ChrgRate	ChargeRate
TemporaryServices4	CpnySprvsr	CompanySupervisor
TemporaryServices4	MplyeeId	EmployeeIdentification
TemporaryServices4	MplyeeNm	EmployeeName
TemporaryServices4	MplyeePrsnlId	EmployeePersonalIdentification
TemporaryServices4	MplyeePrfssnlLvl	EmployeeProfessionalLevel
TemporaryServices4	MiscExpnss	MiscellaneousExpenses
TemporaryServices4	SbttlAmt	SubtotalAmount
TemporaryServices4	SummryCmmdtyId	SummaryCommodityIdentification
TemporaryServices4	TmSheet	TimeSheet
Terminal10	ApprvlCdLngth	ApprovalCodeLength
Terminal10	GeogcLctn	GeographicLocation
Terminal10	IntgtnTp	IntegrationType
Terminal10	OffPrmiss	OffPremises
Terminal10	PINNtryCpblty	PINEntryCapability
Terminal10	RdngCpblty	ReadingCapability
Terminal10	SrlNb	SerialNumber
Terminal10	TempScrStorg	TemporarySecureStorage
Terminal10	TermnlLineNcrptnCertfd	TerminalLineEncryptionCertified
Terminal10	UnqKeyPerTermnlCertfd	UniqueKeyPerTerminalCertified
Terminal13	ApprvlCdLngth	ApprovalCodeLength
Terminal13	GeogcLctn	GeographicLocation
Terminal13	IntgtnTp	IntegrationType
Terminal13	OffPrmiss	OffPremises
