Component	Property	XmlTag	MinOccurs	MaxOccurs	CSharpType	Status
ATMCustomer1	Authentication	Authntcn	1	*	ValueList<CardholderAuthentication8>	ProvisionallyRegistered
ATMCustomer3	AuthenticationResult	AuthntcnRslt	1	*	ValueList<TransactionVerificationResult5>	ProvisionallyRegistered
ATMCustomer4	Authentication	Authntcn	1	*	ValueList<CardholderAuthentication8>	ProvisionallyRegistered
ATMCustomer6	AuthenticationResult	AuthntcnRslt	1	*	ValueList<TransactionVerificationResult5>	ProvisionallyRegistered
ATMCustomer7	AuthenticationResult	AuthntcnRslt	1	*	ValueList<TransactionVerificationResult5>	ProvisionallyRegistered
ATMCustomer8	Authentication	Authntcn	1	*	ValueList<CardholderAuthentication8>	ProvisionallyRegistered
ATMDepositedMedia1	MediaItems	MdiaItms	1	*	ValueList<ATMDepositedMedia2>	ProvisionallyRegistered
ATMDepositedMedia3	MediaItems	MdiaItms	1	*	ValueList<ATMDepositedMedia2>	ProvisionallyRegistered
ATMDepositedMedia4	MediaItem	MdiaItm	1	*	ValueList<ATMDepositedMediaItem1>	ProvisionallyRegistered
ATMTransaction27	Exception	Xcptn	1	*	SimpleValueList<FailureReason8Code>	ProvisionallyRegistered
ATMTransaction40	Exception	Xcptn	1	*	ValueList<FailureReason8Code>	ProvisionallyRegistered
ATMTransaction44	TotalAuthorisedAmount	TtlAuthrsdAmt	1	*	ValueList<AmountAndCurrency1>	ProvisionallyRegistered
ATMTransaction51	TotalAuthorisedAmount	TtlAuthrsdAmt	1	*	ValueList<ImpliedCurrencyAndAmount>	ProvisionallyRegistered
ATMTransaction51	TotalDepositedAmount	TtlDpstdAmt	1	*	ValueList<AmountAndCurrency1>	ProvisionallyRegistered
AcceptorConfiguration1	DataSet	DataSet	1	*	ValueList<TerminalManagementDataSet3>	ProvisionallyRegistered
AcceptorConfiguration10	DataSet	DataSet	1	*	ValueList<AcceptorConfigurationDataSet2>	ProvisionallyRegistered
AcceptorConfiguration11	DataSet	DataSet	1	*	ValueList<AcceptorConfigurationDataSet3>	ProvisionallyRegistered
AcceptorConfiguration12	DataSet	DataSet	1	*	ValueList<AcceptorConfigurationDataSet4>	ProvisionallyRegistered
AcceptorConfiguration13	DataSet	DataSet	1	*	ValueList<AcceptorConfigurationDataSet5>	ProvisionallyRegistered
AcceptorConfiguration14	DataSet	DataSet	1	*	ValueList<AcceptorConfigurationDataSet6>	ProvisionallyRegistered
AcceptorConfiguration15	DataSet	DataSet	1	*	ValueList<AcceptorConfigurationDataSet7>	ProvisionallyRegistered
AcceptorConfiguration2	DataSet	DataSet	1	*	ValueList<TerminalManagementDataSet6>	ProvisionallyRegistered
AcceptorConfiguration3	DataSet	DataSet	1	*	ValueList<TerminalManagementDataSet11>	ProvisionallyRegistered
